titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates,,
VIVE LA VIE,YVES FAJNBERG,2005-01-18,2005-01-18,EXTERIEUR,PLACE,VAUBAN,75007,PLACE VAUBAN 75007 Paris France,48.853663, 2.312772,
VIVE LA VIE,YVES FAJNBERG,2005-02-03,2005-02-03,EXTERIEUR,RUE,JEAN HENRI FABRE/JULES VALLES,75018,RUE JEAN HENRI FABRE/JULES VALLES 75018 Paris France,48.89215, 2.344447,
VIVE LA VIE,YVES FAJNBERG,2005-02-03,2005-02-03,EXTERIEUR,RUE,DU LIEUTENANT COLONEL DAX,75018,RUE DU LIEUTENANT COLONEL DAX 75018 Paris France,48.900821, 2.340059,
BEBE/QUI DE NOUS DEUX,CHARLES BELMONT,2005-04-23,2005-04-23,EXTERIEUR,BERGES,DU QUAI SAINT BERNARD,75005,BERGES DU QUAI SAINT BERNARD 75005 Paris France,48.846853, 2.360944,
CELIBATAIRES,JEAN MICHEL VERNER,2005-03-14,2005-03-15,EXTERIEUR,AVENUE,KEBLER,75016,AVENUE KEBLER 75016 Paris France,48.868335, 2.290789,
CELIBATAIRES,JEAN MICHEL VERNER,2005-12-04,2005-12-04,EXTERIEUR,RUE,BACHAUMONT,75002,RUE BACHAUMONT 75002 Paris France,48.865968, 2.346069,
CELIBATAIRES,JEAN MICHEL VERNER,2005-11-04,2005-11-04,EXTERIEUR,RUE,TIQUETONNE,75002,RUE TIQUETONNE 75002 Paris France,48.864474, 2.34926,
FRAGMENTS,FRANCK LLOPIS,2005-02-23,2005-02-23,EXTERIEUR,RUE,VAUGIRARD,75015,RUE VAUGIRARD 75015 Paris France,48.84312, 2.313183,
CALL ME AGOSTINO,CHRISTINE LAURENT,2005-02-18,2005-02-18,EXTERIEUR,RUE,DE L'ALBONI,75016,RUE DE L'ALBONI 75016 Paris France,48.857666, 2.285464,
ECOUTE LE TEMPS,ALFENTE ALFENDARI,2005-05-04,2005-05-04,DOMAINE PUBLIC,AIRE DE JEUX,DU PERE LACHAISE,75020,AIRE DE JEUX DU PERE LACHAISE 75020 Paris France,48.862787, 2.392809,
FAUTEUILS D'ORCHESTRE,DANIELE THOMPSON,2005-05-17,2005-05-17,EXTERIEUR,PLACE,DE L'ALMA,75008,PLACE DE L'ALMA 75008 Paris France,48.864607, 2.301422,
TOI ET MOI,JULIE LOPES CURVAL,2005-04-05,2005-04-05,EXTERIEUR,AVENUE,DE FRIEDLAND,75008,AVENUE DE FRIEDLAND 75008 Paris France,48.8744, 2.301089,
TOI ET MOI,JULIE LOPES CURVAL,2005-04-04,2005-04-04,EXTERIEUR,RUE,DUNOIS,75013,RUE DUNOIS 75013 Paris France,48.831759, 2.368282,
TOI ET MOI,JULIE LOPES CURVAL,2005-03-31,2005-03-31,EXTERIEUR,RUE,DUNOIS,75013,RUE DUNOIS 75013 Paris France,48.831759, 2.368282,
TOI ET MOI,JULIE LOPES CURVAL,2005-05-04,2005-05-04,EXTERIEUR,RUE,DE DOMEREMY,75013,RUE DE DOMEREMY 75013 Paris France,48.829599, 2.371556,
OLE,FLORENCE QUENTIN,2005-10-05,2005-11-05,DOMAINE PUBLIC,BOIS,DE BOULOGNE,75016,BOIS DE BOULOGNE 75016 Paris France,48.862449, 2.249167,
OLE,FLORENCE QUENTIN,2005-04-28,2005-04-28,EXTERIEUR,PLACE,DE LA CONCORDE,75008,PLACE DE LA CONCORDE 75008 Paris France,48.865519, 2.321454,
L'ANNIVERSAIRE,DIANE KURYS,2005-04-21,2005-04-21,EXTERIEUR,RUE,DE VAUGIRARD,75006,RUE DE VAUGIRARD 75006 Paris France,48.848029, 2.330307,
HELL,BRUNO CHICHE,2005-12-05,2005-12-05,EXTERIEUR,AVENUE,DE SAXE,75007,AVENUE DE SAXE 75007 Paris France,48.848092, 2.310655,
